site,ido,keido,train,hour,minute,rinji
1,35.64539102,136.0768759,up1,6,11,
2,35.65929747,136.0950707,up1,6,11,
3,35.68497762,136.1070751,up1,6,12,
4,35.70317626,136.1146778,up1,6,13,
5,35.76586476,136.1402872,up1,6,16,
6,35.81812155,136.1610947,up1,6,18,
7,35.84958885,136.1775007,up1,6,20,
8,35.86416602,136.1882852,up1,6,20,
9,35.88516998,136.195938,up1,6,21,
10,35.89558136,136.1990239,up1,6,23,
11,35.90843921,136.20189,up1,6,23,
12,35.9223765,136.2070656,up1,6,24,
13,35.93421603,136.2145703,up1,6,24,
14,35.94846303,136.2176757,up1,6,25,
15,35.95411921,136.2170287,up1,6,25,
16,35.9687815,136.215476,up1,6,26,
17,36.00602189,136.2232084,up1,6,28,
18,36.01643618,136.2235517,up1,6,28,
19,36.03156916,136.2189168,up1,6,29,
20,36.04413021,136.2178633,up1,6,30,
21,36.05494258,136.2181561,up1,6,30,
22,36.06046657,136.2220607,up1,6,30,
23,36.06215635,136.2235144,up1,6,32,
24,36.06622689,136.2287961,up1,6,32,
25,36.07190789,136.2329936,up1,6,32,
26,36.08208533,136.2370934,up1,6,32,
27,36.09186705,136.244024,up1,6,33,
28,36.10259398,136.2450978,up1,6,33,
29,36.10961302,136.2446097,up1,6,33,
30,36.11978558,136.2442193,up1,6,34,
31,36.12554155,136.2450002,up1,6,34,
32,36.1353967,136.2489048,up1,6,34,
33,36.15037415,136.2528094,up1,6,35,
34,36.16314214,136.250369,up1,6,35,
35,36.17858705,136.2451954,up1,6,36,
36,36.1894597,136.2416813,up1,6,36,
37,36.20513572,136.2361172,up1,6,37,
38,36.21466584,136.2348483,up1,6,37,
39,36.22513975,136.235922,up1,6,38,
40,36.25497877,136.252907,up1,6,39,
41,36.2996766,136.3170399,up1,6,41,
42,36.31713957,136.3385152,up1,6,42,
43,36.32083619,136.3508146,up1,6,43,
44,36.32382481,136.3657497,up1,6,43,
45,36.32421804,136.3843941,up1,6,44,
46,36.32799296,136.4002077,up1,6,44,
47,36.33860895,136.4188521,up1,6,45,
48,36.35228964,136.4327134,up1,6,46,
49,36.37147,136.4419868,up1,6,46,
50,36.38349462,136.4493079,up1,6,47,
51,36.39944599,136.4526268,up1,6,47,
52,36.40281336,136.4527486,up1,6,49,
53,36.41610106,136.4543839,up1,6,49,
54,36.42968959,136.4625835,up1,6,50,
55,36.44429656,136.4800566,up1,6,51,
56,36.46643737,136.493625,up1,6,52,
57,36.4834705,136.5069983,up1,6,53,
58,36.50842473,136.5352089,up1,6,55,
59,36.5253142,136.5629901,up1,6,56,
60,36.53535544,136.5850922,up1,6,57,
61,36.55283912,136.6205407,up1,6,59,
62,36.56697342,136.6395826,up1,7,0,
63,36.57823804,136.6475734,up1,7,1,
1,35.64539102,136.0768759,up2,6,47,
2,35.65929747,136.0950707,up2,6,47,
3,35.68497762,136.1070751,up2,6,48,
4,35.70317626,136.1146778,up2,6,49,
5,35.76586476,136.1402872,up2,6,52,
6,35.81812155,136.1610947,up2,6,54,
7,35.84958885,136.1775007,up2,6,56,
8,35.86416602,136.1882852,up2,6,56,
9,35.88516998,136.195938,up2,6,57,
10,35.89558136,136.1990239,up2,6,59,
11,35.90843921,136.20189,up2,6,59,
12,35.9223765,136.2070656,up2,7,0,
13,35.93421603,136.2145703,up2,7,0,
14,35.94846303,136.2176757,up2,7,1,
15,35.95411921,136.2170287,up2,7,1,
16,35.9687815,136.215476,up2,7,2,
17,36.00602189,136.2232084,up2,7,4,
18,36.01643618,136.2235517,up2,7,4,
19,36.03156916,136.2189168,up2,7,5,
20,36.04413021,136.2178633,up2,7,6,
21,36.05494258,136.2181561,up2,7,6,
22,36.06046657,136.2220607,up2,7,6,
23,36.06215635,136.2235144,up2,7,8,
24,36.06622689,136.2287961,up2,7,8,
25,36.07190789,136.2329936,up2,7,8,
26,36.08208533,136.2370934,up2,7,9,
27,36.09186705,136.244024,up2,7,9,
28,36.10259398,136.2450978,up2,7,10,
29,36.10961302,136.2446097,up2,7,10,
30,36.11978558,136.2442193,up2,7,11,
31,36.12554155,136.2450002,up2,7,11,
32,36.1353967,136.2489048,up2,7,11,
33,36.15037415,136.2528094,up2,7,12,
34,36.16314214,136.250369,up2,7,13,
35,36.17858705,136.2451954,up2,7,14,
36,36.1894597,136.2416813,up2,7,14,
37,36.20513572,136.2361172,up2,7,15,
38,36.21466584,136.2348483,up2,7,17,
39,36.22513975,136.235922,up2,7,17,
40,36.25497877,136.252907,up2,7,19,
41,36.2996766,136.3170399,up2,7,23,
